n00004475	有机体,存在
n01464844	蛋黄,蛋黄
n01466257	脊索动物
n01467336	头索动物
n01467804	文昌鱼,文昌鱼
n01468238	被囊动物,尾索动物,尾索
n01468712	海鞘
n01469103	海鞘
n01469723	樽海鞘,樽海鞘
n01470145	樽
n01470479	larvacean
n01470733	有尾类
n01470895	海鞘蝌蚪
n01471682	脊椎动物,有头盖
n01472303	羊膜动物
n01472502	羊膜
n01473806	水生脊椎动物
n01474283	无颌类脊椎动物,无颚鱼,agnathan
n01474864	甲胄鱼
n01475232	heterostracan
n01475940	缺甲类动物
n01476418	牙形石
n01477080	圆口纲脊椎动物
n01477525	七鳃鳗,八目鳗,青灯鳗鱼
n01477875	海七鳃鳗,海七鳃鳗
n01478511	盲鳗,Hag,泥鳗
n01478969	盲鳗
n01479213	黏
n01479820	有颌类
n01480106	盾皮鱼
n01480516	软骨鱼,软骨
n01480880	全头类,全头鱼
n01481331	嵌合体
n01481498	篮子鱼,银鲛
n01482071	软骨鱼,软骨鱼
n01482330	鲨鱼
n01483021	牛的鲨鱼,六鳃鲨,灰六鳃鲨
n01483522	鲭鲨
n01483830	鼠鲨,鼠鲨
n01484097	灰鲭鲨,灰鲭鲨
n01484285	灰鲭鲨,鲭鲨oxyrhincus
n01484447	长鳍鲭鲨,长鳍鲭鲨
n01484562	灰鲭鲨,蓝色的尖,灰鲭鲨
n01484850	大白鲨,大白鲨,食人族,吃人的鲨鱼,大白鲨
n01485479	姥鲨,姥鲨
n01486010	脱粒机,脱粒机,长尾鲨,浅海长尾鲨,alopius vulpinus
n01486540	地毯的鲨鱼,须鲨属石竹
n01486838	护士鲨,铰口鲨
n01487506	沙虎,沙鲨,锥齿鲨,沙虎鲨
n01488038	鲸鲨,鲸鲨
n01488918	挽歌鲨
n01489501	牛鲨,白真鲨,低鳍真鲨
n01489709	沙洲鲨,铅灰真鲨
n01489920	黑鳍鲨,沙洲鲨,黑边鳍真鲨
n01490112	白鳍鲨,远洋白鳍鲨,长鳍真鲨,carcharinus鲷
n01490360	黑鲨,灰真鲨
n01490670	柠檬鲨,柠檬鲨
n01491006	蓝鲨,大青鲨,大青鲨
n01491361	虎鲨,鼬鲨
n01491661	翅鲨,油翅鲨,汤翅,油翅鲨
n01491874	角鲨
n01492357	大星
n01492569	星鲨,星鲨鲨鱼,貂貂
n01492708	美国的大星,玲珑星鲨
n01492860	佛罗里达州星鲨,norrisi灰星鲨
n01493146	白鳍鲨,礁鲨,obseus三齿鲨属
n01493541	角鲨
n01493829	大西洋角鲨,角鲨目
n01494041	太平洋角鲨,角鲨suckleyi
n01494475	锤头,锤头鲨
n01494757	平双髻鲨,双髻鲨
n01494882	阿里拟角鲨锤头,双髻鲨管
n01495006	窄头双髻鲨,窄头双髻鲨,帽子的鲨鱼,窄头双髻鲨
n01495493	天使鲨鱼,神仙鱼,扁鲨,安康
n01495701	射线
n01496331	电雷,电鱼,电鳗,鱼雷
n01497118	锯鳐
n01497413	木锯鳐,锯鳐子菜
n01497738	犁头鳐
n01498041	黄貂鱼
n01498406	盾尾蛇鱼,粗尾魟
n01498699	蝴蝶雷
n01498989	鹰射线
n01499396	斑点鹰射线,发现射线,纳氏鹞鲼
n01499732	牛鼻鲼,鲼科,大西洋牛鼻鲼
n01500091	曼塔,蝠鲼,章鱼
n01500476	大西洋曼塔,双吻前口蝠鲼
n01500854	魔鬼鳐,蝠鲼唇瓣
n01501160	滑冰
n01501641	灰色的鞋,灰色的鞋,灰鳐
n01501777	猬鳐,猬鳐
n01501948	棘手的冰鞋,辐鳐
n01502101	barndoor滑板,滑鳐
n01503061	鸟
n01503976	小鸟,小鸟,小鸟儿,鸟儿
n01504179	初出茅庐的,刚刚起步的
n01504344	雏鸟,鸟宝宝
n01514668	公鸡
n01514752	斗鸡,斗鸡
n01514859	母鸡
n01514926	内斯特
n01515078	夜鸟
n01515217	夜乌鸦
n01515303	候鸟
n01516212	始祖鸟,archeopteryx,始祖鸟
n01517389	原鸟
n01517565	平胸,平胸鸟类,不会飞的鸟
n01517966	龙骨状突起,龙骨状的鸟,飞翔的鸟
n01518878	鸵鸟,鸵鸟
n01519563	食火鸡
n01519873	欧洲经济与货币同盟,鸸鹋,动车组粉
n01520576	几维鸟,几维
n01521399	瑞亚,美洲鸵鸟
n01521756	瑞亚,南都,达尔文美洲鸵
n01522450	象鸟,隆鸟
n01523105	金属氧化物避雷器
n01524359	雀形目,雀形目鸟类
n01524761	非雀形目鸟类
n01525720	鸣禽,鸣禽
n01526521	鸣禽,歌手
n01526766	吸蜜鸟,honeysucker
n01527194	岩鹨
n01527347	篱雀,麻雀,篱雀,林岩鹨
n01527617	云雀
n01527917	云雀,云雀
n01528396	鹡鸰
n01528654	鹨,云雀,云雀
n01528845	草地鹨,照片中所示的草地鹨
n01529672	芬奇
n01530439	苍头燕雀,苍头燕雀
n01530575	燕雀,燕雀
n01531178	金翅雀,黄雀黄雀
n01531344	红雀,红雀,赤胸朱顶雀
n01531512	黄雀,黄雀
n01531639	红金翅,红金翅
n01531811	白腰朱顶雀,白腰朱顶雀
n01531971	白腰朱顶雀,极北朱顶雀
n01532325	新世界的金翅雀,金翅雀,黄雀,黄雀tristis
n01532511	松雀,松树的雀鸟,黄雀松
n01532829	家朱雀,红雀,朱雀于墨西哥
n01533000	紫雀,紫红朱雀
n01533339	金丝雀,金丝雀
n01533481	常见的金丝雀,金丝雀
n01533651	丝氨酸
n01533893	交嘴雀,红交嘴雀
n01534155	红腹灰雀,红腹灰雀
n01534433	碛,雪鸟
n01534582	灯芯草雀,石板色的灯芯草雀,灰蓝灯草鹀
n01534762	新世界的麻雀
n01535140	黄昏雀,草雀,黄昏雀
n01535469	白颔麻雀,黄莺,Zonotrichia albicollis
n01535690	白冠麻雀,白冠雀
n01536035	碎裂的麻雀,褐斑翅雀鹀
n01536186	野麻雀,Spizella pusilla
n01536334	树麻雀,Spizella梓
n01536644	歌雀,歌雀
n01536780	沼泽麻雀,Melospiza乔治亚娜
n01537134	彩旗
n01537544	靛蓝鹀,靛雀,蓝鸟,Passerina霞
n01537895	食米鸟,圃鹀,圃鹀
n01538059	芦鹀,芦鹀
n01538200	啄木鸟,黄鹀,黄鹀
n01538362	黄胸鹀,黄胸鹀
n01538630	雪鹀,雪鸟,雪花,雪鹀
n01538955	蜜旋木雀
n01539272	香蕉退出
n01539573	麻雀,真正的麻雀
n01539925	英国麻雀,麻雀,家麻雀
n01540090	树麻雀,麻雀
n01540233	黑头蜡嘴雀,grossbeak
n01540566	黄昏雀,黄昏雀
n01540832	锡嘴雀,锡嘴雀
n01541102	松雀,松雀
n01541386	红衣主教,红衣主教蜡嘴鸟,richmondena红雀,主红雀,红雀
n01541760	主红雀,主红雀sinuata
n01541922	红眼雀
n01542168	北美红眼,cheewink,棕胁唧鹀
n01542433	绿尾红眼雀,chlorura chlorura
n01542786	韦弗,织巢鸟,韦弗雀
n01543175	巴亚,黄胸织布鸟
n01543383	维达,whidah,寡妇鸟
n01543632	java的麻雀,java的雀鸟,禾雀,爪哇禾雀
n01543936	红梅花雀,梅花雀
n01544208	草雀,草雀
n01544389	斑胸草雀,斑胸草雀
n01544704	蜜旋木雀,夏威夷蜜旋木雀
n01545574	琴鸟
n01546039	灌丛鸟,薮鸟,薮鸟
n01546506	阔嘴鸟
n01546921	tyrannid
n01547832	亦称新大陆,鹟,霸鹟,暴君的鸟
n01548301	金博大,蜂虎
n01548492	阿肯色康博,西方金博大
n01548694	Cassin的意外,tyrannus vociferans
n01548865	东部必胜鸟
n01549053	灰色金博大,灰色金博大,petchary,domenicensis domenicensis称号
n01549430	小鹟,老么,红嘴鸥,田凫,绿霸鹟,东林绿霸鹟
n01549641	西方霸,sordidulus绿霸鶲属
n01549886	菲比,菲比鸟,Sayornis菲比
n01550172	朱砂鹟,火鸟,rubinus pyrocephalus墨西哥
n01550761	伞鸟,话多的人
n01551080	岩石的雄鸡,动冠伞鸟
n01551300	岩石的雄鸡,安第斯动冠伞鸟
n01551711	侏儒鸟
n01552034	铃鸟
n01552333	伞鸟,伞鸟
n01552813	灶鸟
n01553142	蚁鸟,蚁鸟
n01553527	蚁鸫
n01553762	蚁鸫
n01554017	斑蚁鸟,hylophylax naevioides
n01554448	砍林鸟,砍林鸟,木材的爬虫,旋木雀
n01555004	皮塔饼
n01555305	叉尾霸鹟,scissortailed鹟,muscivora forficata
n01555809	鹟科,真正的霸鹟,鹟
n01556182	斑鹟,斑鹟,格里索里亚Muscicapa
n01556514	呆子,惠斯勒
n01557185	鹅口疮
n01557962	槲鸫,槲鸫,槲鸫,槲鸫
n01558149	歌鸫,梅维斯,画眉鸟,欧歌鸫
n01558307	田鸫,雪鸟,田鸫
n01558461	红翼鸫,白眉歌鸫
n01558594	黑鸟,乌鸫,梅尔,黑鸫,乌鸫,欧洲的黑鸟,乌鸫
n01558765	环的黑鸫,环的黑鸟,环鸫,环颈鸫
n01558993	罗宾,美洲知更鸟,旅鸫
n01559160	泥土色的知更鸟,greyi鸫
n01559477	画眉鸟,Hylocichla点滴
n01559639	怎么,Wilson的画眉,Hylocichla鲪
n01559804	画眉鸟,木的鸫
n01560105	夜莺,夜莺
n01560280	画眉夜莺,欧歌鸲
n01560419	鹎
n01560636	旧世界的聊天,聊天
n01560793	野翁鸟,黑喉石即
n01560935	野翁,草原石鵖
n01561181	纸牌
n01561452	红尾鸲,红尾
n01561732	麦穗
n01562014	蓝知更鸟
n01562265	罗宾,知更鸟,知更鸟,旧世界的知更鸟,翠鸟rubecola
n01562451	蓝喉歌鸲,翠鸟svecicus
n01563128	莺
n01563449	蚋莺
n01563746	小王
n01563945	戴菊莺,黄金冠戴菊鸟,戴菊
n01564101	黄金冠戴菊鸟,轩辕satrata
n01564217	红玉冠戴菊,红宝石加冕雷恩,轩辕金盏花
n01564394	莺科,真正的莺
n01564773	黑,西尔维亚atricapilla
n01564914	更大的黄莺,黄莺,灰白喉林莺
n01565078	沙白喉林莺,黄莺,白喉林莺
n01565345	林莺,林柳莺
n01565599	水蒲苇莺,一只鸟,莎草鹪鹩,食米鸟,蒲苇莺
n01565930	鹩莺
n01566207	缝叶莺,长尾缝叶莺
n01566645	画眉,碎嘴子
n01567133	一种新世界莺鸟,林莺
n01567678	森莺,北Parula,北森莺
n01567879	Wilson的莺,Wilson的黑,威尔索尼亚皮草
n01568132	高加索莺
n01568294	美国红,红尾鸲,美洲红尾鸲
n01568720	五月岬莺,Dendroica虎纹
n01568892	黄莺,金莺,黄雀,黄色林莺
n01569060	布莱克本,啭鸟,Dendroica fusca
n01569262	奥杜邦的莺,奥杜邦莺,auduboni林莺
n01569423	桃金娘莺,桃金娘的鸟,Dendroica coronata
n01569566	布莱克普,Dendroica条纹
n01569836	新世界聊天,聊天
n01569971	黄胸巨莺,黄疸病
n01570267	灶鸟,橙顶水鸫
n01570421	水鸫
n01570676	黄喉地莺
n01570839	黄喉地莺,马里兰黄喉地莺,黄喉地莺
n01571410	风鸟,ptloris paradisea
n01571904	新世界莺,美洲黄鹂,黄鹂
n01572328	北方黄鹂,黄疸galbula
n01572489	巴尔的摩黄鹂,巴尔的摩的鸟,悬巢鸟,火鸟,黄疸galbula galbula
n01572654	Bullock的黄鹂,黄疸galbula bullockii
n01572782	果园黄鹂,假性黄疸
n01573074	草地鹨,云雀
n01573240	东方野云雀,Sturnella蚤
n01573360	西美草地鹨,Sturnella neglecta
n01573627	酋长,凯泽
n01573898	食米鸟,禾雀,食米鸟,刺歌雀
n01574045	新世界的黑鸟,黑鸟
n01574390	鹩哥,乌鸦
n01574560	紫色白头翁,普通拟八哥
n01574801	锈色黑鹂,生锈的鹩哥,euphagus carilonus
n01575117	燕八哥
n01575401	红翅乌鸫,红翼鸫,红翅黑鹂
n01575745	旧大陆莺,黄鹂
n01576076	金黄鹂,金黄鹂
n01576358	图鸟
n01576695	八哥
n01577035	常见的八哥,欧洲八哥
n01577458	粉红椋鸟,玫瑰色的牧师,牧师椋鸟,粉红椋鸟
n01577659	八哥,八哥,米娜,曹敏雅,八哥鸟,八哥
n01577941	八哥,家八哥
n01578180	鹩哥,印度鹩哥,鹩哥,鹩哥
n01578575	类似乌鸦的鸟
n01579028	乌鸦
n01579149	美国的乌鸦,乌鸦brachyrhyncos
n01579260	掠夺,渡鸦
n01579410	欺骗,秃鼻乌鸦
n01579578	寒鸦,杜先生,寒鸦
n01579729	红嘴山鸦
n01580077	松鸦
n01580379	旧世界的周杰伦
n01580490	欧洲常见的周杰伦,garullus garullus
n01580772	新世界周杰伦
n01580870	红嘴蓝鹊,鸟,蓝色尖嘴鸟
n01581166	加拿大杰,灰鸟,灰鸟,夏令营的强盗,晶须杰克,灰鹊
n01581434	落基山周杰伦,灰鹊头
n01581730	胡桃夹子
n01581874	常见的胡桃夹子,星鸦
n01581984	克拉克的胡桃夹子,加州星鸦
n01582220	喜鹊
n01582398	喜鹊,喜鹊
n01582498	美国的喜鹊,喜鹊hudsonia
n01582856	澳洲喜鹊
n01583209	伯劳鸟
n01583495	钟鹊,钟鹊
n01583828	管道的乌鸦,管道鸦伯劳,黑背钟鹊
n01584225	鹪鹩,鹪鹩珍妮
n01584695	鹪鹩,鹪鹩
n01584853	家鹪鹩,莺鹪鹩
n01585121	沼泽鹪鹩
n01585287	长嘴沼泽鹪鹩,沼泽鹪鹩
n01585422	莎草鹪鹩,短嘴沼泽鹪鹩,Cistothorus螺旋藻
n01585715	岩鹪鹩,salpinctes obsoletus
n01586020	鹪鹩,Thryothorus ludovicianus
n01586374	仙人掌鹪鹩
n01586941	知更鸟,嘲弄者,polyglotktos MIMU
n01587278	蓝知更鸟,蓝嘲鸫
n01587526	Catbird,灰色猫鹊,灰嘲鸫,灰嘲鸫
n01587834	脱粒机,嘲鸫
n01588002	褐嘲鸫,褐色鸫,rufums褐嘲
n01588431	新西兰雷恩
n01588725	岩鹪鹩,石异鹩
n01588996	步枪兵的鸟,刺鹩
n01589286	爬山虎,旋木雀
n01589718	褐色,美国地锦,旋木美洲
n01589893	欧洲的爬虫,旋木雀
n01590220	墙上的爬山虎,tichodrome,tichodroma muriaria
n01591005	欧洲鳾,普通鳾
n01591123	红胸币,西塔加拿大
n01591301	白胸鳾,白胸鳾
n01591697	山雀,山雀
n01592084	山雀
n01592257	黑顶山雀,黑,黑顶山雀
n01592387	胡山雀,山雀双色
n01592540	北卡罗来纳山雀,山雀carolinensis
n01592694	蓝山雀,大山雀,蓝山雀
n01593028	长尾山雀,布什针锋相对
n01593282	鹪鹩雀,鹪雀眉
n01593553	黄雀,雀属黄头金雀
n01594004	和平鸟,蓝知更鸟
n01594372	吞
n01594787	燕子,燕子,家燕
n01594968	燕,pyrrhonota Hirundo
n01595168	树上的燕子,树马丁,Hirundo病
n01595450	白腹的燕子,树上的燕子,iridoprocne双色
n01595624	马丁
n01595974	房子马丁,毛脚燕
n01596273	银行马丁,银行吞下,沙燕,崖沙燕
n01596608	紫马丁,北美洲紫燕
n01597022	木吞,燕子伯劳
n01597336	唐纳雀
n01597737	猩红丽唐纳雀,Piranga蛤,红雀,火鸟
n01597906	西部唐纳雀,Piranga ludoviciana
n01598074	夏天唐纳雀,夏天红雀,Piranga rubra
n01598271	肝唐纳雀,Piranga flava肝
n01598588	伯劳
n01598988	伯劳鸟
n01599159	欧洲伯劳,灰伯劳
n01599269	灰伯劳,Lanius北极光
n01599388	白背伯劳,Lanius ludovicianus excubitorides
n01599556	伯劳鸟,Lanius lucovicianus
n01599741	迁徙伯劳,Lanius ludovicianus的游走
n01600085	布什伯劳
n01600341	黑额丛林伯劳,chlorophoneus nigrifrons
n01600657	园丁鸟,Catbird
